name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
EPIC 201754305 d,K2-16,2.71578,0.03333454321099567,1.03,,,transit-kepler,2019,K2,,,,,,,,0.67,334.967,175.0972238,4.5574311,rocky
EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.90819,,,transit-kepler,2020,K2,,,0.0,,,4520.0,0.655,0.727,,173.9385102,4.6164303,rocky
EPIC 201833600 c,K2-50,3.96151,0.0415777284082927,1.0,,,transit-kepler,2019,K2,,,,,,,,0.611,257.443,169.483654,5.988289,rocky
EPIC 201841433 b,EPIC 201841433,4.1698,0.035,1.04,,,transit-kepler,2019,K2,,,,,,5053.0,0.628461,0.802,436.488,175.206752,6.1348146,rocky
EPIC 205950854 c,K2-168,8.050722,0.07524822642573589,1.31,,,transit-kepler,2019,K2,960.6,,,,,5502.7,0.83,0.877,243.935,333.1100738,-16.3418863,super-earth
EPIC 206024342 b,EPIC 206024342,4.50756,0.05208949973919643,1.7,,,transit-kepler,2019,K2,,,,,,,,0.928,369.888,331.2771441,-14.1218019,super-earth
EPIC 206024342 c,EPIC 206024342,0.911724,0.018401311410205682,1.4,,,transit-kepler,2021,K2,,,,,,5724.0,1.1,,369.888,331.2771441,-14.1218019,super-earth
EPIC 206024342 d,EPIC 206024342,14.647531,0.11716092742190584,2.6,,,transit-kepler,2021,K2,,,,,,5724.0,1.1,,369.888,331.2771441,-14.1218019,neptune-like
EPIC 206032309 b,EPIC 206032309,2.87814,0.023941161614374203,1.01,,,transit-kepler,2019,K2,,,,,,,,0.221,161.365,341.2404563,-13.9011223,rocky
EPIC 206042996 b,EPIC 206042996,5.2986,0.05948132127068649,1.7,,,transit-kepler,2019,K2,,,,,,4114.0,0.5,,451.769,337.5136198,-13.6101475,super-earth
EPIC 206042996 c,EPIC 206042996,0.354884,0.009809889827834392,1.2,,,transit-kepler,2021,K2,,,,,,4114.0,0.5,,451.769,337.5136198,-13.6101475,rocky
EPIC 206215704 b,EPIC 206215704,2.255436,0.03365840426387911,1.0,,,transit-kepler,2019,K2,,,,,,3297.0,0.25,,109.888,335.0949721,-9.5097112,rocky
EPIC 206317286 b,EPIC 206317286,1.58252,0.02372079218604593,0.96,,,transit-kepler,2019,K2,,,,,,,,0.711,314.35,337.6178427,-7.972456,rocky
EPIC 206317286 c,EPIC 206317286,17.515472,0.12414489219724119,2.094,,,transit-kepler,2022,K2,,,,,,4752.0,0.758,0.832,314.35,337.6178427,-7.972456,sub-neptune
EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,1.92,,,transit-kepler,2016,K2,431.0,,,,,4057.0,0.58,0.62,186.197,130.4102091,17.6399744,super-earth
EPIC 211945201 b,EPIC 211945201,19.49221,0.1493,5.76,,,transit-kepler,2018,K2,817.0,,,,,6069.0,1.39,1.17,181.69,136.5741931,19.4020565,sub-neptune
EPIC 212297394 b,EPIC 212297394,2.289363,0.03194790032443802,1.48,,,transit-kepler,2019,K2,1149.0,,,,,5171.0,0.8,0.83,418.395,207.2061241,-17.6098985,super-earth
EPIC 212297394 c,EPIC 212297394,5.213965,0.05530248187347611,2.27,,,transit-kepler,2021,K2,866.0,,,,,5171.0,0.8,0.83,418.395,207.2061241,-17.6098985,neptune-like
EPIC 212424622 b,EPIC 212424622,18.0983,0.13951366503920462,2.17,,,transit-kepler,2019,K2,,,,,,,,1.106,611.804,202.3313765,-14.3594358,neptune-like
EPIC 212499991 b,EPIC 212499991,34.885,0.20262698447789346,1.6,,,transit-kepler,2019,K2,,,,,,,,0.912,283.29,202.488752,-12.7347749,super-earth
EPIC 212587672 b,EPIC 212587672,15.28078,0.12011076431216591,1.26,,,transit-kepler,2019,K2,756.0,,,,,6004.0,0.98,0.99,320.07,205.4445125,-10.8625468,super-earth
EPIC 212587672 c,EPIC 212587672,23.228555,0.15879361822060417,2.32,,,transit-kepler,2021,K2,658.0,,,,,6004.0,0.98,0.99,320.07,205.4445125,-10.8625468,neptune-like
EPIC 212624936 b,EPIC 212624936,0.578657,0.013590037580562417,1.2,,,transit-kepler,2021,K2,,,,,,5765.0,0.93,,561.929,210.6376171,-10.0236852,rocky
EPIC 212624936 c,EPIC 212624936,11.811437,0.10150209562258658,2.3,,,transit-kepler,2021,K2,,,,,,5765.0,0.93,,561.929,210.6376171,-10.0236852,neptune-like
EPIC 212737443 b,EPIC 212737443,13.603,0.098,2.586,,,transit-kepler,2019,K2,536.0,,0.2,,K3,4684.0,0.673,0.69,336.25,204.2215065,-7.3180577,neptune-like
EPIC 212737443 c,EPIC 212737443,65.55,0.28,2.69,,,transit-kepler,2019,K2,316.0,,0.2,,K3,4684.0,0.673,0.69,336.25,204.2215065,-7.3180577,neptune-like
EPIC 220492298 b,EPIC 220492298,0.762406,0.01633292823782677,0.99,,,transit-kepler,2021,K2,,,,,,5620.0,0.89,,624.512,16.7615005,6.588798,rocky
EPIC 220554210 c,K2-282,0.70531,0.015506955639857215,1.6,,,transit-kepler,2019,K2,,,,,,5499.0,1.0,,496.289,13.4321524,7.9952914,super-earth
EPIC 220674823 b,EPIC 220674823,0.5713127,0.01314,1.676,7.8,Mass,transit-kepler,2016,K2,2299.0,9.09,0.0,4656.0,,5578.0,0.99,0.913,244.59,13.0800239,10.7947051,super-earth
EPIC 220674823 c,EPIC 220674823,13.33989,0.1073,2.84,7.32,Mass,transit-kepler,2016,K2,804.0,1.72,0.17,70.0,,5578.0,0.99,0.913,244.59,13.0800239,10.7947051,sub-neptune
EPIC 228836835 b,EPIC 228836835,0.728113,0.015839411451577246,1.1,,,transit-kepler,2021,K2,,,,,,3782.0,0.32,,150.124,189.5748998,-5.2446247,rocky
EPIC 229004835 b,EPIC 229004835,16.141132,0.1237,2.332,10.4,Mass,transit-kepler,2023,K2,804.0,4.49,0.23,69.7,,5868.0,0.999,0.97,121.971,186.4860415,-1.4047214,neptune-like
EPIC 246851721 b,EPIC 246851721,6.180235,0.07229,11.780659,953.49,Mass,transit-kepler,2018,K2,1401.0,3.1,,642.0,F5 V,6202.0,1.586,1.317,372.632,78.9198197,16.2786991,hot-jupiter
EPIC 248847494 b,EPIC 248847494,3650.0,4.5,12.44199,4131.79,Mass,transit-kepler,2018,K2,183.0,,0.0,0.19,,4898.0,2.7,0.9,551.886,159.3890808,11.8427484,cold-jupiter
EPIC 249893012 b,EPIC 249893012,3.5951,0.047,1.95,8.75,Mass,transit-kepler,2020,K2,1616.0,6.39,0.06,1037.0,G8 IV/V,5430.0,1.71,1.05,321.296,228.2482353,-16.7246474,super-earth
EPIC 249893012 c,EPIC 249893012,15.624,0.13,3.67,14.67,Mass,transit-kepler,2020,K2,990.0,1.62,0.07,160.0,G8 IV/V,5430.0,1.71,1.05,321.296,228.2482353,-16.7246474,neptune-like
EPIC 249893012 d,EPIC 249893012,35.747,0.22,3.94,10.18,Mass,transit-kepler,2020,K2,752.0,0.91,0.15,53.0,G8 IV/V,5430.0,1.71,1.05,321.296,228.2482353,-16.7246474,neptune-like
G 192-15 b,G 192-15,2.27476,0.01723,,1.03,Msini,radial-velocity,2025,Calar Alto Observatory,453.6,,0.0,7.06,M5.0 V,,,0.132,9.53114,90.6220931,49.861939,rocky
G 192-15 c,G 192-15,1219.0,1.137,,14.3,Msini,radial-velocity,2025,Calar Alto Observatory,55.9,,0.676,0.0016,M5.0 V,,,0.132,9.53114,90.6220931,49.861939,neptune-like
G 261-6 b,G 261-6,5.4536,0.02971,,1.37,Msini,radial-velocity,2025,Calar Alto Observatory,322.3,,0.0,1.8,M5.5 V,,,0.118,10.6267,291.07432,75.5558405,rocky
G 264-012 b,G 264-012,2.30538,0.02279,,2.5,Msini,radial-velocity,2021,Calar Alto Observatory,587.0,,,20.5,M4.0 V,3326.0,0.305,0.297,16.009,326.6719598,66.803848,super-earth
G 264-012 c,G 264-012,8.0518,0.0525,,3.75,Msini,radial-velocity,2021,Calar Alto Observatory,387.0,,,3.87,M4.0 V,3326.0,0.305,0.297,16.009,326.6719598,66.803848,super-earth
G 268-110 b,G 268-110,1.43263,0.01283,,1.52,Msini,radial-velocity,2025,Calar Alto Observatory,534.0,,0.0,13.57,M5.0 V,,,0.137,,16.223688,-18.124802,rocky
G 9-40 b,G 9-40,5.7459982,0.0418,1.9,4.0,Mass,transit-kepler,2019,K2,440.6,3.2,0.0,6.27,,3395.0,0.3026,0.2952,27.9276,134.7188514,21.0747961,super-earth
GJ 1002 b,GJ 1002,10.3465,0.0457,,1.08,Msini,radial-velocity,2022,Multiple Observatories,230.9,,,0.67,M5.5 V,3024.0,0.137,0.12,4.84867,1.6764641,-7.5462123,rocky
GJ 1002 c,GJ 1002,21.202,0.0738,,1.36,Msini,radial-velocity,2022,Multiple Observatories,181.7,,,0.257,M5.5 V,3024.0,0.137,0.12,4.84867,1.6764641,-7.5462123,rocky
GJ 1061 b,GJ 1061,3.204,0.021,,1.37,Msini,radial-velocity,2020,La Silla Observatory,,,0.31,3.8,M5.5 V,2953.0,0.156,0.12,3.67278,54.0032486,-44.5143104,rocky
GJ 1061 c,GJ 1061,6.689,0.035,,1.74,Msini,radial-velocity,2020,La Silla Observatory,,,0.29,1.4,M5.5 V,2953.0,0.156,0.12,3.67278,54.0032486,-44.5143104,rocky
GJ 1061 d,GJ 1061,13.031,0.054,,1.64,Msini,radial-velocity,2020,La Silla Observatory,,,0.53,0.6,M5.5 V,2953.0,0.156,0.12,3.67278,54.0032486,-44.5143104,rocky
GJ 1132 b,GJ 1132,1.62892911,0.0157,1.19151465,1.83704819,Mass,transit-other,2015,Cerro Tololo Inter-American Observatory,583.8,5.97,0.0118,19.3,,3229.0,0.2211,0.1945,12.613,153.7090696,-47.1549358,rocky
GJ 1132 c,GJ 1132,8.929,0.0476,,2.64,Msini,radial-velocity,2018,La Silla Observatory,300.0,,0.27,,,3270.0,0.2105,0.181,12.613,153.7090696,-47.1549358,super-earth
GJ 1148 b,GJ 1148,41.38,0.166,,96.7,Msini,radial-velocity,2010,W. M. Keck Observatory,,,0.38,,,3287.0,0.358519,0.344045,11.0143,175.4326081,42.7515862,sub-neptune
GJ 1148 c,GJ 1148,532.58,0.912,,68.06,Msini,radial-velocity,2017,Calar Alto Observatory,,,0.342,,,3287.0,0.358519,0.344045,11.0143,175.4326081,42.7515862,sub-neptune
GJ 1151 c,GJ 1151,389.7,0.5714,,10.62,Msini,radial-velocity,2023,Multiple Facilities,,,,,M 4.5V,3280.0,0.1781,0.1639,8.03625,177.7304866,48.3732334,neptune-like
GJ 1214 b,GJ 1214,1.580404531,0.01505,2.733,8.41,Mass,transit-other,2009,MEarth Project,567.0,2.26,0.0062,17.2,,3101.0,0.2162,0.182,14.6427,258.8313991,4.9606795,sub-neptune
GJ 1252 b,GJ 1252,0.5182331,0.009153733711726023,1.193,1.32,Mass,transit-other,2020,Transiting Exoplanet Survey Satellite (TESS),,4.2,0.0,,M3,3458.0,0.391,0.381,20.373,306.9286462,-56.4622865,rocky
GJ 1265 b,GJ 1265,3.6511,0.026,,7.4,Msini,radial-velocity,2018,Calar Alto Observatory,,,0.04,,M4.5 V,3236.0,0.192,0.178,10.2525,333.4324675,-17.6870623,super-earth
GJ 1289 b,GJ 1289,111.74,0.27,,6.27,Msini,radial-velocity,2024,Multiple Observatories,150.0,,0.0,,M4.5 Ve,3296.0,,0.21,8.35147,355.7813464,36.5363314,super-earth
GJ 143 b,GJ 143,35.61253,0.1915,2.61,22.7,Mass,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),422.0,7.0,0.188,,K4.5,4640.0,0.695,0.73,16.32,51.7501882,-63.500166,neptune-like
GJ 15 A c,GJ 15 A,7600.0,5.4,,36.0,Msini,radial-velocity,2018,Roque de los Muchachos Observatory,,,0.27,,M1,3607.0,0.38,0.38,3.56228,4.6126677,44.0247296,neptune-like
GJ 160.2 b,GJ 160.2,5.2354,0.053,,10.2,Msini,radial-velocity,2014,Multiple Observatories,,,0.06,,M0 V,4347.0,,0.69,25.8557,61.6454173,-20.8564724,neptune-like
GJ 163 b,GJ 163,8.63182,0.0607,,10.6,Msini,radial-velocity,2013,La Silla Observatory,,,0.073,,,,,,15.1285,62.3228353,-53.3711768,neptune-like
GJ 163 c,GJ 163,25.63058,0.1254,,6.8,Msini,radial-velocity,2013,La Silla Observatory,,,0.099,,,,,,15.1285,62.3228353,-53.3711768,super-earth
GJ 163 d,GJ 163,603.95116,1.0304,,29.4,Msini,radial-velocity,2013,La Silla Observatory,,,0.373,,,,,,15.1285,62.3228353,-53.3711768,neptune-like
GJ 179 b,GJ 179,2288.0,2.41,,260.61,Msini,radial-velocity,2009,W. M. Keck Observatory,,,0.21,,M3.5 V,3370.0,0.38,0.357,12.356,73.0245495,6.4752347,cold-jupiter
GJ 180 b,GJ 180,17.133,0.092,,6.49,Msini,radial-velocity,2014,Multiple Observatories,,,0.07,,,,,0.43,11.9407,73.460097,-17.776194,super-earth
GJ 180 c,GJ 180,24.329,0.129,,6.4,Msini,radial-velocity,2014,Multiple Observatories,,,0.09,,M2 V,3371.0,,0.43,11.9407,73.460097,-17.776194,super-earth
GJ 180 d,GJ 180,106.3,0.309,,7.56,Msini,radial-velocity,2020,Multiple Facilities,,,0.14,,,,,0.43,11.9407,73.460097,-17.776194,super-earth
GJ 2030 b,GJ 2030,2.38129,0.034,,4.76742611,Msini,radial-velocity,2022,Multiple Observatories,,,0.239,,,,,0.96,37.0788,50.8237604,-7.7950429,super-earth
GJ 2030 c,GJ 2030,25533.11353,16.761,,4069.15709482,Mass,radial-velocity,2022,Multiple Observatories,,,0.041,,,,,0.96,37.0788,50.8237604,-7.7950429,cold-jupiter
GJ 2056 b,GJ 2056,69.971,0.283,,16.2,Msini,radial-velocity,2020,Multiple Observatories,,,0.72,,,,,0.62,28.4434,108.0194945,-24.8921008,neptune-like
GJ 2126 b,GJ 2126,272.7,0.71,,413.1769291,Msini,radial-velocity,2025,La Silla Observatory,,,0.85,,M0 V,4159.0,0.728,0.65,38.129,257.3606793,-35.391719,cold-jupiter
GJ 238 b,GJ 238,1.7446999,0.02123,0.566,,,transit-other,2024,Transiting Exoplanet Survey Satellite (TESS),758.0,,,,M2.5 V,3485.0,0.4314,0.4193,15.2142,98.454881,-58.5250316,rocky
GJ 251 b,GJ 251,14.237,0.0808,,3.85,Msini,radial-velocity,2020,W. M. Keck Observatory,336.0,,0.0,2.37,,3342.0,0.36,0.35,5.58057,103.7002499,33.2664632,super-earth
GJ 251 c,GJ 251,53.647,0.196,,3.88,Msini,radial-velocity,2025,Multiple Observatories,216.0,,0.0,0.404,,3342.0,0.36,0.35,5.58057,103.7002499,33.2664632,super-earth
GJ 27.1 b,GJ 27.1,15.819,0.101,,13.0,Msini,radial-velocity,2014,Multiple Observatories,,,0.08,,M0.5 V,3542.0,,0.53,23.6062,9.9980016,-44.2541679,neptune-like
GJ 273 b,GJ 273,18.6498,0.091101,,2.89,Msini,radial-velocity,2017,La Silla Observatory,,,0.1,1.06,M3.5,3382.0,0.293,0.29,5.921535,111.852091,5.225807,super-earth
GJ 273 c,GJ 273,4.7234,0.036467,,1.18,Msini,radial-velocity,2017,La Silla Observatory,,,0.17,6.66,M3.5,3382.0,0.293,0.29,5.921535,111.852091,5.225807,rocky
GJ 3021 b,GJ 3021,133.71,0.49,,1071.04,Msini,radial-velocity,2000,La Silla Observatory,350.0,,0.511,,G6 V,5540.0,0.9,0.9,17.5559,4.0634323,-79.8514218,cold-jupiter
GJ 3082 b,GJ 3082,11.949,0.079,,8.2,Msini,radial-velocity,2020,Multiple Facilities,,,0.22,,,,,0.47,16.6186,18.6432425,-53.9407751,super-earth
GJ 3090 b,GJ 3090,2.8531054,0.03165,2.13,3.34,Mass,transit-other,2022,Transiting Exoplanet Survey Satellite (TESS),693.0,1.89,0.32,,M2 V,3556.0,0.516,0.519,22.4751,20.4384281,-46.7147234,sub-neptune
GJ 3138 b,GJ 3138,1.22003,0.0197,,1.78,Msini,radial-velocity,2017,La Silla Observatory,,,0.19,118.1,M0,3717.0,0.5,0.681,28.4712,32.2977385,-16.3392495,rocky
GJ 3138 c,GJ 3138,5.974,0.057,,4.18,Msini,radial-velocity,2017,La Silla Observatory,,,0.11,13.9,M0,3717.0,0.5,0.681,28.4712,32.2977385,-16.3392495,super-earth
GJ 3138 d,GJ 3138,257.8,0.698,,10.5,Msini,radial-velocity,2017,La Silla Observatory,,,0.32,0.1,M0,3717.0,0.5,0.681,28.4712,32.2977385,-16.3392495,neptune-like
GJ 317 b,GJ 317,695.69,1.138,,536.49435102,Msini,radial-velocity,2007,W. M. Keck Observatory,,,0.0826,,M3.5 V,3496.0,0.403,0.402,15.1968,130.2445254,-23.452809,cold-jupiter
GJ 317 c,GJ 317,6500.0,5.04,,454.49462201,Msini,radial-velocity,2018,W. M. Keck Observatory,,,0.217,,M3.5 V,3496.0,0.403,0.402,15.1968,130.2445254,-23.452809,cold-jupiter
GJ 3222 b,GJ 3222,10.66669,0.091,,11.44182265,Msini,radial-velocity,2022,Multiple Observatories,,,0.929,,,,,0.89,18.23817,50.8972464,-40.0762325,neptune-like
GJ 328 b,GJ 328,3771.0,4.11,,797.74930157,Msini,radial-velocity,2013,McDonald Observatory,,,0.227,,M0.0,3897.0,0.63,0.65,20.5266,133.7819507,1.5420011,cold-jupiter
GJ 328 c,GJ 328,241.8,0.657,,21.4,Msini,radial-velocity,2023,Roque de los Muchachos Observatory,,,,,M0.0,3897.0,0.63,0.65,20.5266,133.7819507,1.5420011,neptune-like
GJ 3293 b,GJ 3293,30.5987,0.14339,,23.54,Msini,radial-velocity,2015,La Silla Observatory,,,0.06,1.07,M2.5,3466.0,0.404,0.42,20.1903,67.1484425,-25.1713396,neptune-like
GJ 3293 c,GJ 3293,122.6196,0.36175,,21.09,Msini,radial-velocity,2015,La Silla Observatory,,,0.11,0.17,M2.5,3466.0,0.404,0.42,20.1903,67.1484425,-25.1713396,neptune-like
GJ 3293 d,GJ 3293,48.1345,0.19394,,7.6,Msini,radial-velocity,2017,La Silla Observatory,,,0.12,0.59,M2.5,3466.0,0.404,0.42,20.1903,67.1484425,-25.1713396,super-earth
GJ 3293 e,GJ 3293,13.2543,0.08208,,3.28,Msini,radial-velocity,2017,La Silla Observatory,,,0.21,3.34,M2.5,3466.0,0.404,0.42,20.1903,67.1484425,-25.1713396,super-earth
GJ 3323 b,GJ 3323,5.3636,0.03282,,2.02,Msini,radial-velocity,2017,La Silla Observatory,,,0.23,2.58,M4,3159.0,0.119,0.164,5.37484,75.4868824,-6.9485133,super-earth
GJ 3323 c,GJ 3323,40.54,0.1264,,2.31,Msini,radial-velocity,2017,La Silla Observatory,,,0.17,0.17,M4,3159.0,0.119,0.164,5.37484,75.4868824,-6.9485133,super-earth
GJ 3341 b,GJ 3341,14.207,0.089,,6.6,Msini,radial-velocity,2015,La Silla Observatory,,,0.31,,M2.5,3526.0,0.439,0.47,23.619,78.9471415,-31.2948458,super-earth
GJ 338 B b,GJ 338 B,24.422,0.142,,10.6,Msini,radial-velocity,2020,Calar Alto Observatory,,,0.109,,M0 V,4014.0,0.58,0.64,6.33256,138.5916722,52.6835211,neptune-like
GJ 341 b,GJ 341,7.57686,0.05911256045856446,0.88,4.0,Mass,transit-other,2025,Transiting Exoplanet Survey Satellite (TESS),,,0.0,13.8,M1,3770.0,0.5066,0.48,10.454,140.3993759,-60.2811692,super-earth
GJ 3470 b,GJ 3470,3.3366496,0.0355,4.57,13.9,Mass,radial-velocity,2012,La Silla Observatory,593.5,0.8,,,,3600.0,0.547,0.539,29.4214,119.7735021,15.391209,neptune-like
GJ 3473 b,GJ 3473,1.1980035,0.01589,1.264,1.86,Mass,transit-other,2020,Transiting Exoplanet Survey Satellite (TESS),773.0,5.03,0.0,59.4,,3347.0,0.364,0.36,27.3644,120.5936065,3.3371629,rocky
GJ 3473 c,GJ 3473,15.509,0.0876,,7.41,Msini,radial-velocity,2020,Multiple Observatories,329.1,,0.0,1.95,,3347.0,0.364,0.36,27.3644,120.5936065,3.3371629,super-earth
GJ 3512 b,GJ 3512,203.109,0.3376,,146.51889563,Msini,radial-velocity,2019,Calar Alto Observatory,,,0.4279,,M5.5 V,3141.0,0.139,0.123,9.48637,130.3316616,59.4918364,cold-jupiter
GJ 3512 c,GJ 3512,2354.0,1.731,,143.97626837,Msini,radial-velocity,2020,Multiple Observatories,,,0.089,,M5.5 V,3141.0,0.139,0.123,9.48637,130.3316616,59.4918364,cold-jupiter
GJ 357 b,GJ 357,3.9306,0.036,1.2,,,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),518.0,,,,M2.5 V,3505.0,0.337,0.342,9.44181,144.0074644,-21.6650634,rocky
GJ 357 c,GJ 357,9.1247,0.061,,3.4,Msini,radial-velocity,2019,Multiple Observatories,401.2,,,4.45,M2.5 V,3505.0,0.337,0.342,9.44181,144.0074644,-21.6650634,super-earth
GJ 357 d,GJ 357,55.661,0.204,,6.1,Msini,radial-velocity,2019,Multiple Observatories,219.6,,,0.38,M2.5 V,3505.0,0.337,0.342,9.44181,144.0074644,-21.6650634,super-earth
GJ 3634 b,GJ 3634,2.64561,0.0287,,8.4,Mass,radial-velocity,2010,La Silla Observatory,,,0.08,,M2.5,,0.43,0.45,20.3779,164.6433493,-31.1443383,super-earth
GJ 367 b,GJ 367,0.3219225,0.00709,0.699,0.633,Mass,transit-other,2021,Transiting Exoplanet Survey Satellite (TESS),1365.0,10.2,0.06,579.0,M1.0 V,3522.0,0.458,0.455,9.41263,146.121464,-45.7790165,rocky
GJ 367 c,GJ 367,11.5301,0.0768243742922305,,4.13,Msini,radial-velocity,2023,La Silla Observatory,,,0.09,,M1.0 V,3522.0,0.458,0.455,9.41263,146.121464,-45.7790165,super-earth
GJ 367 d,GJ 367,34.369,0.15911883114118983,,6.03,Msini,radial-velocity,2023,La Silla Observatory,,,0.14,,M1.0 V,3522.0,0.458,0.455,9.41263,146.121464,-45.7790165,super-earth
GJ 3779 b,GJ 3779,3.0232,0.026,,8.0,Msini,radial-velocity,2018,Calar Alto Observatory,,,0.07,,M4.0 V,3324.0,0.281,0.27,13.743,200.7335358,24.4639425,super-earth
GJ 3929 b,GJ 3929,2.616235,0.0252,1.09,1.75,Mass,transit-other,2022,Transiting Exoplanet Survey Satellite (TESS),568.0,7.3,0.0,17.3,,3384.0,0.32,0.313,15.8095,239.5775678,35.4081141,rocky
GJ 3929 c,GJ 3929,15.04,0.081,,5.71,Msini,radial-velocity,2022,Multiple Observatories,317.0,,0.0,1.68,,3384.0,0.32,0.313,15.8095,239.5775678,35.4081141,super-earth
GJ 393 b,GJ 393,7.02679,0.05402,,1.71,Msini,radial-velocity,2021,Multiple Observatories,485.0,,,9.21,M2.0 V,3579.0,0.426,0.426,7.03149,157.2288672,0.8378485,rocky
GJ 3942 b,GJ 3942,6.905,0.0608,,7.14,Msini,radial-velocity,2017,Roque de los Muchachos Observatory,590.0,,0.121,,M0,3867.0,0.61,0.63,16.9287,242.2645452,52.9441443,super-earth
GJ 3988 b,GJ 3988,6.9442,0.0405,,3.69,Msini,radial-velocity,2023,Calar Alto Observatory,348.0,,0.0,2.45,M4.5 V,3273.0,0.19734,0.1842,9.9105,255.8503747,51.4089795,super-earth
GJ 3998 b,GJ 3998,2.65033,0.03,,2.5,Msini,radial-velocity,2016,Roque de los Muchachos Observatory,,,0.0,48.0,,3726.0,0.5,0.52,18.1459,259.0020507,11.0561751,super-earth
GJ 3998 c,GJ 3998,13.727,0.09,,6.82,Msini,radial-velocity,2016,Roque de los Muchachos Observatory,,,0.0,5.4,,3726.0,0.5,0.52,18.1459,259.0020507,11.0561751,super-earth
GJ 3998 d,GJ 3998,41.78,0.189,,6.07,Msini,radial-velocity,2025,Multiple Observatories,,,0.0,1.2,,3726.0,0.5,0.52,18.1459,259.0020507,11.0561751,super-earth
GJ 411 b,GJ 411,12.9394,0.07879,,2.69,Msini,radial-velocity,2019,Haute-Provence Observatory,,,0.063,,,3719.0,0.3685,0.3899,5.675773,165.834471,35.972317,super-earth
GJ 414 A b,GJ 414 A,50.8,0.2324,2.63,7.6,Msini,radial-velocity,2021,W. M. Keck Observatory,308.6,,0.45,,K7 V,4120.0,0.68,0.65,11.8893,167.7745044,30.4451688,sub-neptune
GJ 414 A c,GJ 414 A,749.83,1.4,8.4,53.83,Msini,radial-velocity,2021,W. M. Keck Observatory,124.7,,0.105,,K7 V,4120.0,0.68,0.65,11.8893,167.7745044,30.4451688,sub-neptune
GJ 422 b,GJ 422,20.129,0.111,,11.07,Msini,radial-velocity,2014,Multiple Observatories,,,0.11,,,,,0.35,12.6631,168.9810458,-57.5425629,neptune-like
GJ 4276 b,GJ 4276,13.352,0.082,,16.57,Msini,radial-velocity,2019,Calar Alto Observatory,,,0.37,,M4.0,3387.0,0.407,0.406,21.3362,336.3221454,59.412503,neptune-like
GJ 433 b,GJ 433,7.3705,0.062,,6.043,Msini,radial-velocity,2011,La Silla Observatory,,,0.04,,,,,0.48,9.06456,173.8619194,-32.5436302,super-earth
GJ 433 c,GJ 433,5094.105,4.819,,32.422,Msini,radial-velocity,2014,Multiple Observatories,,,0.12,,,,,0.48,9.06456,173.8619194,-32.5436302,neptune-like
GJ 433 d,GJ 433,36.059,0.178,,5.223,Msini,radial-velocity,2020,Multiple Facilities,,,0.07,,,,,0.48,9.06456,173.8619194,-32.5436302,super-earth
GJ 436 b,GJ 436,2.64388312,0.0291,4.17,22.1,Mass,radial-velocity,2004,W. M. Keck Observatory,,1.8,0.13827,,,,0.455,0.47,9.75321,175.5505363,26.7030669,neptune-like
GJ 463 b,GJ 463,3459.0,3.53,,524.09904314,Msini,radial-velocity,2022,Multiple Observatories,,,0.146,,M3.0 V,3563.0,0.483,0.486,18.3554,185.7440496,64.0324311,cold-jupiter
GJ 480 b,GJ 480,9.567,0.068,,13.2,Msini,radial-velocity,2020,Multiple Observatories,,,0.1,,M3.5 Ve,,,0.45,14.2358,189.7134226,11.6950708,neptune-like
GJ 486 b,GJ 486,1.46712127,0.01714,1.289,2.77,Mass,radial-velocity,2021,Calar Alto Observatory,696.3,6.66,0.00086,39.2,,3317.0,0.3243,0.312,8.07426,191.981531,9.7494181,super-earth
GJ 508.2 b,GJ 508.2,5300.0,4.85,,587.98255295,Msini,radial-velocity,2025,Calar Alto Observatory,,,0.27,,M1.0 V,3720.0,0.53,0.54,16.6374,200.2443854,34.2776644,cold-jupiter
GJ 514 b,GJ 514,140.43,0.422,,5.2,Msini,radial-velocity,2022,Multiple Observatories,202.0,,0.45,0.28,M0.5-1.0 V,3728.0,0.5,0.51,7.61778,202.5040424,10.3725387,super-earth
GJ 536 b,GJ 536,8.70874,0.0668,,6.37,Msini,radial-velocity,2016,La Silla Observatory,451.0,,0.0,9.9,,3641.0,0.529,0.528,10.4092,210.2597264,-2.6522901,super-earth
GJ 536 c,GJ 536,32.761,0.1617,,5.89,Msini,radial-velocity,2025,Multiple Facilities,290.5,,0.0,1.692,,3641.0,0.529,0.528,10.4092,210.2597264,-2.6522901,super-earth
GJ 581 b,GJ 581,5.3686,0.0399,,20.5,Mass,radial-velocity,2005,La Silla Observatory,,,0.0342,,M3.0 V,3500.0,0.302,0.295,6.2981,229.8564725,-7.7226935,neptune-like
GJ 581 c,GJ 581,12.9211,0.0718,,6.81,Mass,radial-velocity,2007,La Silla Observatory,,,0.032,,M3.0 V,3500.0,0.302,0.295,6.2981,229.8564725,-7.7226935,super-earth
GJ 581 e,GJ 581,3.1481,0.02799,,2.48,Mass,radial-velocity,2009,La Silla Observatory,,,0.012,,M3.0 V,3500.0,0.302,0.295,6.2981,229.8564725,-7.7226935,super-earth
